County Name,Confirmed Cases,Deaths,newcountconfirmed,newcountdeaths,date
Santa Clara,33701.0,476.0,766,0,2020-11-28
San Mateo,14040.0,170.0,168,0,2020-11-28
Santa Barbara,11481.0,135.0,141,0,2020-11-28
Tuolumne,976.0,8.0,95,0,2020-11-28
Sierra,16.0,0.0,0,0,2020-11-28
Placer,6497.0,68.0,214,0,2020-11-28
San Luis Obispo,6106.0,36.0,67,0,2020-11-28
Solano,10252.0,81.0,208,0,2020-11-28
Monterey,15328.0,121.0,575,5,2020-11-28
Yuba,1912.0,10.0,48,0,2020-11-28
San Francisco,15450.0,160.0,73,0,2020-11-28
Orange,76882.0,1577.0,1731,0,2020-11-28
Mono,505.0,3.0,7,0,2020-11-28
Calaveras,478.0,22.0,0,0,2020-11-28
Alpine,41.0,0.0,0,0,2020-11-28
Nevada,1272.0,9.0,88,0,2020-11-28
Butte,3894.0,59.0,0,0,2020-11-28
Santa Cruz,4426.0,28.0,68,0,2020-11-28
Mendocino,1458.0,23.0,71,1,2020-11-28
Fresno,38288.0,481.0,294,0,2020-11-28
Inyo,289.0,16.0,0,0,2020-11-28
San Joaquin,25742.0,502.0,1,0,2020-11-28
Ventura,19510.0,175.0,131,0,2020-11-28
Trinity,157.0,0.0,6,0,2020-11-28
Mariposa,120.0,2.0,2,0,2020-11-28
El Dorado,2415.0,4.0,177,0,2020-11-28
Sonoma,12008.0,157.0,84,0,2020-11-28
Shasta,4882.0,47.0,172,0,2020-11-28
Lassen,1714.0,2.0,0,0,2020-11-28
Colusa,711.0,6.0,17,0,2020-11-28
Lake,920.0,19.0,11,0,2020-11-28
Modoc,103.0,0.0,3,0,2020-11-28
Tulare,20701.0,308.0,67,0,2020-11-28
San Benito,1835.0,16.0,30,0,2020-11-28
Alameda,29368.0,511.0,304,6,2020-11-28
Marin,7696.0,129.0,36,0,2020-11-28
San Diego,80020.0,996.0,1859,0,2020-11-28
Glenn,925.0,8.0,34,0,2020-11-28
Siskiyou,558.0,2.0,4,0,2020-11-28
Madera,6119.0,85.0,69,0,2020-11-28
Tehama,1678.0,25.0,29,0,2020-11-28
Sutter,3244.0,16.0,143,1,2020-11-28
Napa,3033.0,17.0,45,0,2020-11-28
Los Angeles,386194.0,7623.0,3454,19,2020-11-28
Sacramento,36905.0,566.0,326,0,2020-11-28
Merced,11688.0,179.0,138,0,2020-11-28
Kings,11070.0,87.0,403,0,2020-11-28
Kern,40255.0,448.0,548,0,2020-11-28
Riverside,86854.0,1437.0,1085,0,2020-11-28
Contra Costa,23798.0,261.0,335,0,2020-11-28
Del Norte,328.0,1.0,21,0,2020-11-28
San Bernardino,91183.0,1129.0,929,0,2020-11-28
Stanislaus,21574.0,424.0,389,0,2020-11-28
Humboldt,844.0,9.0,49,0,2020-11-28
Plumas,188.0,0.0,0,0,2020-11-28
Amador,536.0,16.0,38,0,2020-11-28
Imperial,16019.0,356.0,59,0,2020-11-28
Yolo,4739.0,75.0,2,0,2020-11-28
