week number,week,sex,cases
14,2020-04-06,Female,5015
14,2020-04-06,Male,5547
14,2020-04-06,Unknown,139
15,2020-04-13,Female,7600
15,2020-04-13,Male,7957
15,2020-04-13,Transgender,2
15,2020-04-13,Unknown,308
16,2020-04-20,Female,11352
16,2020-04-20,Male,11772
16,2020-04-20,Unknown,214
17,2020-04-27,Female,16363
17,2020-04-27,Male,16641
17,2020-04-27,Unknown,257
18,2020-05-04,Female,22384
18,2020-05-04,Male,22337
18,2020-05-04,Unknown,310
19,2020-05-11,Female,27853
19,2020-05-11,Male,27980
19,2020-05-11,Unknown,379
20,2020-05-18,Female,33992
20,2020-05-18,Male,34955
20,2020-05-18,Unknown,435
21,2020-05-25,Female,40105
21,2020-05-25,Male,41214
21,2020-05-25,Unknown,476
22,2020-06-01,Female,47595
22,2020-06-01,Male,48614
22,2020-06-01,Unknown,524
23,2020-06-08,Female,56728
23,2020-06-08,Male,58001
23,2020-06-08,Unknown,581
24,2020-06-15,Female,65556
24,2020-06-15,Male,67306
24,2020-06-15,Unknown,627
25,2020-06-22,Female,75416
25,2020-06-22,Male,77466
25,2020-06-22,Unknown,678
26,2020-07-06,Female,90119
26,2020-07-06,Male,92199
26,2020-07-06,Unknown,755
27,2020-07-13,Female,109850
27,2020-07-13,Male,112043
27,2020-07-13,Unknown,1024
28,2020-07-20,Female,137284
28,2020-07-20,Male,139077
28,2020-07-20,Unknown,1413
29,2020-07-27,Female,166525
29,2020-07-27,Male,168074
29,2020-07-27,Unknown,1909
30,2020-08-03,Female,199561
30,2020-08-03,Male,199097
30,2020-08-03,Unknown,2111
31,2020-08-10,Female,233477
31,2020-08-10,Male,230415
31,2020-08-10,Unknown,2658
32,2020-06-29,Female,264666
32,2020-06-29,Male,259382
32,2020-06-29,Unknown,5932
33,2020-08-17,Female,287810
33,2020-08-17,Male,279981
33,2020-08-17,Unknown,6620
34,2020-08-24,Female,317984
34,2020-08-24,Male,307821
34,2020-08-24,Unknown,6862
35,2020-08-31,Female,338946
35,2020-08-31,Male,327315
35,2020-08-31,Unknown,6834
36,2020-09-07,Female,357162
36,2020-09-07,Male,344006
36,2020-09-07,Unknown,6629
37,2020-09-14,Female,372728
37,2020-09-14,Male,358617
37,2020-09-14,Unknown,6566
38,2020-09-21,Female,383892
38,2020-09-21,Male,369597
38,2020-09-21,Unknown,6524
39,2020-09-28,Female,395828
39,2020-09-28,Male,381901
39,2020-09-28,Unknown,6595
40,2020-10-05,Female,407312
40,2020-10-05,Male,393417
40,2020-10-05,Unknown,6696
41,2020-10-12,Female,417819
41,2020-10-12,Male,403885
41,2020-10-12,Unknown,6757
42,2020-10-19,Female,430237
42,2020-10-19,Male,415294
42,2020-10-19,Unknown,6875
43,2020-10-26,Female,441502
43,2020-10-26,Male,425648
43,2020-10-26,Unknown,6927
44,2020-11-02,Female,456990
44,2020-11-02,Male,440111
44,2020-11-02,Unknown,7097
45,2020-11-09,Female,472513
45,2020-11-09,Male,454850
45,2020-11-09,Unknown,7309
46,2020-11-16,Female,494286
46,2020-11-16,Male,475297
46,2020-11-16,Unknown,7635
47,2020-11-23,Female,525328
47,2020-11-23,Male,504618
47,2020-11-23,Unknown,8032
48,2020-11-30,Female,570248
48,2020-11-30,Male,546676
48,2020-11-30,Unknown,8775
